province,group
Aceh,Sumatra
Sumatera Utara,Sumatra
Sumatera Barat,Sumatra
Riau,Sumatra
Kepulauan Riau,Sumatra
Jambi,Sumatra
Sumatera Selatan,Sumatra
Kepulauan Bangka Belitung,Sumatra
Bengkulu,Sumatra
Lampung,Sumatra
DKI Jakarta,Jawa
Jawa Barat,Jawa
Banten,Jawa
Jawa Tengah,Jawa
DI Yogyakarta,Jawa
Jawa Timur,Jawa
Bali,Bali-Nusa Tenggara
Nusa Tenggara Barat,Bali-Nusa Tenggara
Nusa Tenggara Timur,Bali-Nusa Tenggara
Kalimantan Barat,Kalimantan
Kalimantan Tengah,Kalimantan
Kalimantan Selatan,Kalimantan
Kalimantan Timur,Kalimantan
Kalimantan Utara,Kalimantan
Sulawesi Utara,Sulawesi
Gorontalo,Sulawesi
Sulawesi Tengah,Sulawesi
Sulawesi Barat,Sulawesi
Sulawesi Selatan,Sulawesi
Sulawesi Tenggara,Sulawesi
Maluku,Maluku
Maluku Utara,Maluku
Papua,Papua
Papua Barat,Papua
Papua Selatan,Papua
Papua Tengah,Papua
Papua Pegunungan,Papua
Papua Barat Daya,Papua
